Tamanho,No,Replicacao1,Replicacao2,Replicacao3
1,1,2.61,2.44,2.85
2,1,1.78,1.78,1.74
3,1,1.46,1.44,1.49
4,1,1.32,1.32,1.29
5,1,1.2,1.21,1.24
6,1,1.15,1.15,1.17
7,1,1.08,1.08,1.08
8,1,1.04,1.02,1.22
9,1,0.99,0.98,0.99
10,1,0.96,0.95,0.95
11,1,0.92,0.92,0.94
12,1,1,0.93,0.95
13,1,0.89,0.91,0.89
14,1,0.86,0.85,0.93
15,1,0.85,0.86,0.89
16,1,0.84,0.87,0.83
1,2,3.25,3.3,3.14
2,2,3.06,2.38,2.54
3,2,2.13,2.03,2.15
4,2,1.97,2.03,2.5
5,2,1.75,1.8,1.8
6,2,1.73,1.67,1.73
7,2,1.61,1.62,1.61
8,2,1.62,1.6,1.57
9,2,1.53,1.53,1.54
10,2,1.45,1.45,1.46
11,2,1.42,1.45,1.42
12,2,1.41,1.53,1.38
13,2,1.37,1.37,1.36
14,2,1.33,1.35,1.36
15,2,1.32,1.33,1.32
16,2,1.32,1.31,1.29
1,3,3.43,3.46,3.39
2,3,3.08,3.19,3.1
3,3,2.79,2.72,2.79
4,3,2.42,2.35,2.33
5,3,2.21,2.2,2.17
6,3,2.21,2.17,2.14
7,3,1.93,1.92,1.89
8,3,1.84,1.85,1.85
9,3,1.8,1.83,1.83
10,3,1.79,1.69,1.73
11,3,1.7,1.68,1.78
12,3,1.72,1.72,1.66
13,3,1.65,1.69,1.81
14,3,1.63,1.59,1.67
15,3,1.6,1.59,1.57
16,3,1.61,1.66,1.61
1,4,5.02,4.25,5.79
2,4,3.58,3.67,3.62
3,4,3.1,3.15,3.02
4,4,3.13,2.76,3.23
5,4,2.52,2.55,2.59
6,4,2.28,2.48,2.75
7,4,2.24,2.24,2.33
8,4,2.21,2.2,2.24
9,4,2.24,2.13,2.1
10,4,2.04,2.15,2.03
11,4,2.02,2.1,2.1
12,4,2,1.97,2.06
13,4,2,2.02,1.92
14,4,1.94,1.97,1.98
15,4,1.99,2,2.21
16,4,1.95,1.92,1.92
1,5,5.29,4.86,4.25
2,5,4,4.41,3.6
3,5,3.31,3.03,3.03
4,5,3.5,2.71,2.6
5,5,2.48,2.57,2.46
6,5,2.33,2.32,2.42
7,5,2.31,2.13,2.2
8,5,1.99,2.06,2.07
9,5,2,2.05,2.03
10,5,2.04,2.29,2.03
11,5,1.99,1.96,1.95
12,5,1.97,1.87,1.92
13,5,1.82,1.86,1.88
14,5,1.86,1.92,1.83
15,5,1.8,1.8,1.88
16,5,1.78,1.76,1.84
1,6,6.32,5.44,5.17
2,6,3.98,3.63,3.62
3,6,3.3,2.98,3.05
4,6,2.95,2.62,2.69
5,6,2.67,2.49,2.47
6,6,2.31,2.24,2.26
7,6,2.15,2.17,2.18
8,6,2.09,2.06,2.1
9,6,2.25,1.98,2.01
10,6,1.93,1.91,1.97
11,6,1.94,1.94,1.89
12,6,1.88,1.91,1.91
13,6,1.86,1.85,1.93
14,6,1.87,1.86,1.85
15,6,1.86,1.82,1.83
16,6,1.75,2.01,1.79
1,7,6.37,5.77,5.47
2,7,4.87,4.34,4.85
3,7,3.09,3,3.11
4,7,2.8,2.72,2.77
5,7,2.48,2.6,2.61
6,7,2.4,2.54,2.34
7,7,2.35,2.32,2.31
8,7,2.19,2.2,2.13
9,7,2.08,2.11,2.14
10,7,2.05,2.01,1.99
11,7,2.2,2,2.01
12,7,1.97,1.91,1.93
13,7,1.87,1.94,1.9
14,7,1.87,2.02,1.93
15,7,1.91,1.89,1.87
16,7,1.85,1.86,1.83
1,8,7.05,5.87,5.5
2,8,4.55,5.01,3.9
3,8,3.35,3.28,3.24
4,8,2.97,2.92,2.87
5,8,2.85,2.67,2.56
6,8,2.47,2.52,2.52
7,8,2.34,2.39,2.29
8,8,2.15,2.15,2.19
9,8,2.11,2.34,2.19
10,8,2.1,2.03,2.02
11,8,1.98,2.03,1.97
12,8,1.95,1.98,1.99
13,8,1.95,2.01,1.97
14,8,1.93,1.91,1.97
15,8,1.86,1.93,1.93
16,8,1.9,2.07,1.86
1,9,6.48,5.64,6.8
2,9,4.62,4.01,3.63
3,9,3.48,3.24,3.4
4,9,2.92,2.92,2.93
5,9,2.75,2.65,2.66
6,9,2.58,2.62,2.4
7,9,2.43,2.41,2.34
8,9,2.27,2.34,2.29
9,9,2.1,2.42,2.15
10,9,1.99,1.98,2.03
11,9,1.98,2.04,2.02
12,9,1.97,1.92,2
13,9,1.96,2.03,1.88
14,9,1.95,1.93,1.96
15,9,1.91,1.88,1.9
16,9,2.1,1.87,1.83
1,10,5.7,5.16,5.12
2,10,4,3.69,3.51
3,10,3.12,3.15,3
4,10,2.82,2.83,2.86
5,10,2.63,2.63,2.57
6,10,3.8,3.24,2.77
7,10,2.5,2.5,2.48
8,10,2.36,2.34,2.19
9,10,2.16,2.11,2.13
10,10,2.01,2.03,2.04
11,10,1.98,2.03,2.05
12,10,1.97,1.99,1.93
13,10,1.99,1.91,1.93
14,10,1.94,2.11,1.93
15,10,1.93,1.89,1.92
16,10,1.94,1.91,1.92
